Date,RoomID,Beacon/0/UUID,Beacon/0/major,Beacon/0/minor,Beacon/0/RSSI,Beacon/1/UUID,Beacon/1/major,Beacon/1/minor,Beacon/1/RSSI,Beacon/2/UUID,Beacon/2/major,Beacon/2/minor,Beacon/2/RSSI,Wifi/0/SSID,Wifi/0/BSSID,Wifi/0/RSSI,Wifi/1/SSID,Wifi/1/BSSID,Wifi/1/RSSI,Wifi/2/SSID,Wifi/2/BSSID,Wifi/2/RSSI,Wifi/3/SSID,Wifi/3/BSSID,Wifi/3/RSSI,Wifi/4/SSID,Wifi/4/BSSID,Wifi/4/RSSI,Wifi/5/SSID,Wifi/5/BSSID,Wifi/5/RSSI,Wifi/6/SSID,Wifi/6/BSSID,Wifi/6/RSSI,Wifi/7/SSID,Wifi/7/BSSID,Wifi/7/RSSI,Wifi/8/SSID,Wifi/8/BSSID,Wifi/8/RSSI,Wifi/9/SSID,Wifi/9/BSSID,Wifi/9/RSSI,Wifi/10/SSID,Wifi/10/BSSID,Wifi/10/RSSI,Wifi/11/SSID,Wifi/11/BSSID,Wifi/11/RSSI,Wifi/12/SSID,Wifi/12/BSSID,Wifi/12/RSSI,Wifi/13/SSID,Wifi/13/BSSID,Wifi/13/RSSI,Wifi/14/SSID,Wifi/14/BSSID,Wifi/14/RSSI,Wifi/15/SSID,Wifi/15/BSSID,Wifi/15/RSSI,Wifi/16/SSID,Wifi/16/BSSID,Wifi/16/RSSI,Wifi/17/SSID,Wifi/17/BSSID,Wifi/17/RSSI,Wifi/18/SSID,Wifi/18/BSSID,Wifi/18/RSSI,Wifi/19/SSID,Wifi/19/BSSID,Wifi/19/RSSI,Wifi/20/SSID,Wifi/20/BSSID,Wifi/20/RSSI,Wifi/21/SSID,Wifi/21/BSSID,Wifi/21/RSSI,Wifi/22/SSID,Wifi/22/BSSID,Wifi/22/RSSI,Wifi/23/SSID,Wifi/23/BSSID,Wifi/23/RSSI,Wifi/24/SSID,Wifi/24/BSSID,Wifi/24/RSSI,Wifi/25/SSID,Wifi/25/BSSID,Wifi/25/RSSI,Wifi/26/SSID,Wifi/26/BSSID,Wifi/26/RSSI,Wifi/27/SSID,Wifi/27/BSSID,Wifi/27/RSSI,Wifi/28/SSID,Wifi/28/BSSID,Wifi/28/RSSI,Wifi/29/SSID,Wifi/29/BSSID,Wifi/29/RSSI,Wifi/30/SSID,Wifi/30/BSSID,Wifi/30/RSSI,Wifi/31/SSID,Wifi/31/BSSID,Wifi/31/RSSI,Wifi/32/SSID,Wifi/32/BSSID,Wifi/32/RSSI,Wifi/33/SSID,Wifi/33/BSSID,Wifi/33/RSSI,Wifi/34/SSID,Wifi/34/BSSID,Wifi/34/RSSI
2017/4/27 11:47,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-62,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-55,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-56,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-47,n-itolab,00:a0:de:e2:6b:70,-63,n-itolab-ac,80:ea:96:f2:cc:77,-80,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-43,webmo,fc:db:b3:91:c2:64,-48,3F-Naito-Lab,90:72:40:25:d1:26,-61,n-itolab-g,00:a0:de:e2:6b:69,-52,n-itolab-ac,80:ea:96:f2:cc:76,-59,n-itolab-n,00:a0:de:e2:6b:68,-52,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-44,ait-wnet_A,00:24:a5:7b:aa:30,-85,clabpro_G,00:24:a5:7b:d1:70,-73,4b-matslaboEX,b0:c7:45:c9:0d:d0,-77,ait-wnet_A,4c:e6:76:82:84:d0,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:47,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-72,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-48,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-64,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-42,n-itolab,00:a0:de:e2:6b:70,-65,n-itolab-ac,80:ea:96:f2:cc:77,-84,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-45,webmo,fc:db:b3:91:c2:64,-52,3F-Naito-Lab,90:72:40:25:d1:26,-58,n-itolab-g,00:a0:de:e2:6b:69,-59,n-itolab-ac,80:ea:96:f2:cc:76,-62,n-itolab-n,00:a0:de:e2:6b:68,-52,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-43,ait-wnet_A,00:24:a5:7b:aa:30,-87,ait-wnet_A,4c:e6:76:82:84:d0,-87,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-84,ait-wnet,4c:e6:76:82:40:60,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:48,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-64,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-61,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-58,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-45,n-itolab,00:a0:de:e2:6b:70,-61,n-itolab-ac,80:ea:96:f2:cc:77,-79,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-49,webmo,fc:db:b3:91:c2:64,-46,3F-Naito-Lab,90:72:40:25:d1:26,-62,n-itolab-g,00:a0:de:e2:6b:69,-51,n-itolab-ac,80:ea:96:f2:cc:76,-57,n-itolab-n,00:a0:de:e2:6b:68,-50,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-46,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-86,ait-wnet_A,00:24:a5:7b:aa:30,-81,4b-matslaboEX,b0:c7:45:c9:0d:d0,-74,sawano-lab-2,00:07:40:fe:a3:65,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:48,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-70,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-69,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-60,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-47,n-itolab,00:a0:de:e2:6b:70,-59,n-itolab-ac,80:ea:96:f2:cc:77,-76,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-49,webmo,fc:db:b3:91:c2:64,-50,3F-Naito-Lab,90:72:40:25:d1:26,-64,n-itolab-g,00:a0:de:e2:6b:69,-51,n-itolab-ac,80:ea:96:f2:cc:76,-46,n-itolab-n,00:a0:de:e2:6b:68,-50,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-46,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,ait-wnet_A,00:24:a5:7b:aa:30,-81,clabpro_G,00:24:a5:7b:d1:70,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:48,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-73,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-58,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-73,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-45,n-itolab,00:a0:de:e2:6b:70,-59,n-itolab-ac,80:ea:96:f2:cc:77,-73,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-49,webmo,fc:db:b3:91:c2:64,-48,3F-Naito-Lab,90:72:40:25:d1:26,-69,n-itolab-g,00:a0:de:e2:6b:69,-55,n-itolab-ac,80:ea:96:f2:cc:76,-54,n-itolab-n,00:a0:de:e2:6b:68,-55,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-46,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,ait-wnet_A,00:24:a5:7b:aa:30,-86,clabpro_G,00:24:a5:7b:d1:70,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:48,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-57,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-67,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-61,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-34,n-itolab,00:a0:de:e2:6b:70,-56,n-itolab-ac,80:ea:96:f2:cc:77,-77,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-42,webmo,fc:db:b3:91:c2:64,-44,3F-Naito-Lab,90:72:40:25:d1:26,-69,n-itolab-g,00:a0:de:e2:6b:69,-49,n-itolab-ac,80:ea:96:f2:cc:76,-58,n-itolab-n,00:a0:de:e2:6b:68,-49,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-43,ait-wnet_A,00:24:a5:7b:aa:30,-86,clabpro_G,00:24:a5:7b:d1:70,-79,4b-matslaboEX,cc:e1:d5:51:4e:c0,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:49,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-61,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-63,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-44,n-itolab,00:a0:de:e2:6b:70,-59,n-itolab-ac,80:ea:96:f2:cc:77,-80,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-38,webmo,fc:db:b3:91:c2:64,-51,3F-Naito-Lab,90:72:40:25:d1:26,-62,n-itolab-g,00:a0:de:e2:6b:69,-49,n-itolab-ac,80:ea:96:f2:cc:76,-57,n-itolab-n,00:a0:de:e2:6b:68,-51,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-38,ait-wnet_A,00:24:a5:7b:aa:30,-89,4-kawabe-lab-205,00:16:01:83:34:49,-73,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:50,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-63,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-62,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-64,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-49,n-itolab,00:a0:de:e2:6b:70,-62,n-itolab-ac,80:ea:96:f2:cc:77,-80,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-42,webmo,fc:db:b3:91:c2:64,-52,3F-Naito-Lab,90:72:40:25:d1:26,-61,n-itolab-g,00:a0:de:e2:6b:69,-59,n-itolab-ac,80:ea:96:f2:cc:76,-59,n-itolab-n,00:a0:de:e2:6b:68,-60,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-42,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,4b-matslaboEX,cc:e1:d5:51:4e:c0,-73,clabpro_G,00:24:a5:7b:d1:70,-73,ait-wnet_A,00:24:a5:7b:aa:30,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:50,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-65,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-67,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-46,n-itolab,00:a0:de:e2:6b:70,-65,n-itolab-ac,80:ea:96:f2:cc:77,-82,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-34,webmo,fc:db:b3:91:c2:64,-50,3F-Naito-Lab,90:72:40:25:d1:26,-62,n-itolab-g,00:a0:de:e2:6b:69,-61,n-itolab-ac,80:ea:96:f2:cc:76,-59,n-itolab-n,00:a0:de:e2:6b:68,-62,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-36,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,ait-wnet_A,00:24:a5:7b:aa:30,-84,4-kawabe-lab-204,00:16:01:57:b7:11,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:50,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-68,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-62,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-60,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-45,n-itolab,00:a0:de:e2:6b:70,-62,n-itolab-ac,80:ea:96:f2:cc:77,-77,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-41,webmo,fc:db:b3:91:c2:64,-47,3F-Naito-Lab,90:72:40:25:d1:26,-63,n-itolab-g,00:a0:de:e2:6b:69,-47,n-itolab-ac,80:ea:96:f2:cc:76,-58,n-itolab-n,00:a0:de:e2:6b:68,-49,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-39,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-84,ait-wnet_A,00:24:a5:7b:aa:30,-82,clabpro_G,00:24:a5:7b:d1:70,-79,4b-matslaboEX,cc:e1:d5:51:4e:c0,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
