Date,RoomID,Beacon/0/UUID,Beacon/0/major,Beacon/0/minor,Beacon/0/RSSI,Beacon/1/UUID,Beacon/1/major,Beacon/1/minor,Beacon/1/RSSI,Wifi/0/SSID,Wifi/0/BSSID,Wifi/0/RSSI,Wifi/1/SSID,Wifi/1/BSSID,Wifi/1/RSSI,Wifi/2/SSID,Wifi/2/BSSID,Wifi/2/RSSI,Wifi/3/SSID,Wifi/3/BSSID,Wifi/3/RSSI,Wifi/4/SSID,Wifi/4/BSSID,Wifi/4/RSSI,Wifi/5/SSID,Wifi/5/BSSID,Wifi/5/RSSI,Wifi/6/SSID,Wifi/6/BSSID,Wifi/6/RSSI,Wifi/7/SSID,Wifi/7/BSSID,Wifi/7/RSSI,Wifi/8/SSID,Wifi/8/BSSID,Wifi/8/RSSI,Wifi/9/SSID,Wifi/9/BSSID,Wifi/9/RSSI,Wifi/10/SSID,Wifi/10/BSSID,Wifi/10/RSSI,Wifi/11/SSID,Wifi/11/BSSID,Wifi/11/RSSI,Wifi/12/SSID,Wifi/12/BSSID,Wifi/12/RSSI,Wifi/13/SSID,Wifi/13/BSSID,Wifi/13/RSSI,Wifi/14/SSID,Wifi/14/BSSID,Wifi/14/RSSI,Wifi/15/SSID,Wifi/15/BSSID,Wifi/15/RSSI,Wifi/16/SSID,Wifi/16/BSSID,Wifi/16/RSSI,Wifi/17/SSID,Wifi/17/BSSID,Wifi/17/RSSI,Wifi/18/SSID,Wifi/18/BSSID,Wifi/18/RSSI,Wifi/19/SSID,Wifi/19/BSSID,Wifi/19/RSSI,Wifi/20/SSID,Wifi/20/BSSID,Wifi/20/RSSI,Wifi/21/SSID,Wifi/21/BSSID,Wifi/21/RSSI,Wifi/22/SSID,Wifi/22/BSSID,Wifi/22/RSSI,Wifi/23/SSID,Wifi/23/BSSID,Wifi/23/RSSI,Wifi/24/SSID,Wifi/24/BSSID,Wifi/24/RSSI,Wifi/25/SSID,Wifi/25/BSSID,Wifi/25/RSSI,Wifi/26/SSID,Wifi/26/BSSID,Wifi/26/RSSI,Wifi/27/SSID,Wifi/27/BSSID,Wifi/27/RSSI,Wifi/28/SSID,Wifi/28/BSSID,Wifi/28/RSSI,Beacon/2/UUID,Beacon/2/major,Beacon/2/minor,Beacon/2/RSSI,Beacon/3/UUID,Beacon/3/major,Beacon/3/minor,Beacon/3/RSSI,Wifi/29/SSID,Wifi/29/BSSID,Wifi/29/RSSI,Wifi/30/SSID,Wifi/30/BSSID,Wifi/30/RSSI,Wifi/31/SSID,Wifi/31/BSSID,Wifi/31/RSSI,Wifi/32/SSID,Wifi/32/BSSID,Wifi/32/RSSI,Wifi/33/SSID,Wifi/33/BSSID,Wifi/33/RSSI,Wifi/34/SSID,Wifi/34/BSSID,Wifi/34/RSSI,Wifi/35/SSID,Wifi/35/BSSID,Wifi/35/RSSI
2017/5/9 18:35,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-66,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-64,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-44,n-itolab,00:a0:de:e2:6b:70,-57,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-43,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-51,n-itolab-n,00:a0:de:e2:6b:68,-55,n-itolab-g,00:a0:de:e2:6b:69,-56,n-itolab-ac,80:ea:96:f2:cc:76,-52,3F-Naito-Lab,90:72:40:25:d1:26,-70,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-65,4b-matslaboEX,cc:e1:d5:51:4e:c0,-71,4b-matslaboEX,b0:c7:45:c9:0d:d0,-76,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-74,ait-wnet_A,00:24:a5:7b:aa:30,-86,4-kawabe-lab-205,00:16:01:83:34:49,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:35,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-68,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-67,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-49,n-itolab,00:a0:de:e2:6b:70,-57,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-44,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-46,n-itolab-n,00:a0:de:e2:6b:68,-50,n-itolab-g,00:a0:de:e2:6b:69,-50,n-itolab-ac,80:ea:96:f2:cc:76,-56,3F-Naito-Lab,90:72:40:25:d1:26,-68,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-46,4b-matslaboEX,cc:e1:d5:51:4e:c0,-74,4b-matslaboEX,b0:c7:45:c9:0d:d0,-72,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-74,ait-wnet_A,00:24:a5:7b:aa:30,-86,4-kawabe-lab-205,00:16:01:83:34:49,-76,4-kawabe-lab-204,00:16:01:57:b7:11,-81,clabpro_G,00:24:a5:7b:d1:70,-82,sawano2-lab,4c:32:75:c6:d3:a4,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:35,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-73,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-58,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-48,n-itolab,00:a0:de:e2:6b:70,-58,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-42,n-itolab-ac,80:ea:96:f2:cc:77,-81,webmo,fc:db:b3:91:c2:64,-50,n-itolab-n,00:a0:de:e2:6b:68,-54,n-itolab-g,00:a0:de:e2:6b:69,-50,n-itolab-ac,80:ea:96:f2:cc:76,-60,3F-Naito-Lab,90:72:40:25:d1:26,-67,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-44,4b-matslaboEX,cc:e1:d5:51:4e:c0,-74,4b-matslaboEX,b0:c7:45:c9:0d:d0,-72,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-77,ait-wnet_A,00:24:a5:7b:aa:30,-88,4-kawabe-lab-204,00:16:01:57:b7:11,-81,clabpro_G,00:24:a5:7b:d1:70,-77,sawano2-lab,4c:32:75:c6:d3:a4,-84,sawano-lab-2,00:07:40:fe:a3:65,-83,HayaLab-1-G,88:57:ee:8b:6a:b0,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:36,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-54,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-60,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-44,n-itolab,00:a0:de:e2:6b:70,-58,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-38,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-46,n-itolab-n,00:a0:de:e2:6b:68,-53,n-itolab-g,00:a0:de:e2:6b:69,-55,n-itolab-ac,80:ea:96:f2:cc:76,-58,3F-Naito-Lab,90:72:40:25:d1:26,-56,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-40,4b-matslaboEX,cc:e1:d5:51:4e:c0,-72,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-77,ait-wnet_A,00:24:a5:7b:aa:30,-88,clabpro_G,00:24:a5:7b:d1:70,-77,sawano-lab-2,00:07:40:fe:a3:65,-83,HayaLab-1-G,88:57:ee:8b:6a:b0,-84,4-kawabe-lab-205,00:16:01:83:34:49,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:36,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-61,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-40,n-itolab,00:a0:de:e2:6b:70,-62,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-41,n-itolab-ac,80:ea:96:f2:cc:77,-79,webmo,fc:db:b3:91:c2:64,-50,n-itolab-n,00:a0:de:e2:6b:68,-53,n-itolab-g,00:a0:de:e2:6b:69,-55,n-itolab-ac,80:ea:96:f2:cc:76,-62,3F-Naito-Lab,90:72:40:25:d1:26,-62,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-42,4b-matslaboEX,cc:e1:d5:51:4e:c0,-72,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-77,ait-wnet_A,00:24:a5:7b:aa:30,-86,clabpro_G,00:24:a5:7b:d1:70,-79,4-kawabe-lab-205,00:16:01:83:34:49,-71,4b-matslaboEX,b0:c7:45:c9:0d:d0,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:36,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-68,,,,,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-51,n-itolab,00:a0:de:e2:6b:70,-60,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-34,n-itolab-ac,80:ea:96:f2:cc:77,-81,webmo,fc:db:b3:91:c2:64,-51,n-itolab-n,00:a0:de:e2:6b:68,-56,n-itolab-g,00:a0:de:e2:6b:69,-53,n-itolab-ac,80:ea:96:f2:cc:76,-58,3F-Naito-Lab,90:72:40:25:d1:26,-69,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-31,4b-matslaboEX,cc:e1:d5:51:4e:c0,-76,clabpro_G,00:24:a5:7b:d1:70,-79,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:36,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-60,,,,,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-41,n-itolab,00:a0:de:e2:6b:70,-64,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-35,n-itolab-ac,80:ea:96:f2:cc:77,-81,webmo,fc:db:b3:91:c2:64,-50,n-itolab-n,00:a0:de:e2:6b:68,-56,n-itolab-g,00:a0:de:e2:6b:69,-59,n-itolab-ac,80:ea:96:f2:cc:76,-62,3F-Naito-Lab,90:72:40:25:d1:26,-62,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-34,4b-matslaboEX,cc:e1:d5:51:4e:c0,-81,clabpro_G,00:24:a5:7b:d1:70,-79,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-84,AIT Formula,00:90:fe:f7:da:b0,-89,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:36,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-60,,,,,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-46,n-itolab,00:a0:de:e2:6b:70,-60,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-43,n-itolab-ac,80:ea:96:f2:cc:77,-78,webmo,fc:db:b3:91:c2:64,-53,n-itolab-n,00:a0:de:e2:6b:68,-47,n-itolab-g,00:a0:de:e2:6b:69,-51,n-itolab-ac,80:ea:96:f2:cc:76,-60,3F-Naito-Lab,90:72:40:25:d1:26,-66,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-40,4b-matslaboEX,cc:e1:d5:51:4e:c0,-71,clabpro_G,00:24:a5:7b:d1:70,-79,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-84,AIT Formula,00:90:fe:f7:da:b0,-89,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-76,ait-wnet_A,00:24:a5:7b:aa:30,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:37,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-68,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-58,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-48,n-itolab,00:a0:de:e2:6b:70,-63,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-43,n-itolab-ac,80:ea:96:f2:cc:77,-84,webmo,fc:db:b3:91:c2:64,-47,n-itolab-n,00:a0:de:e2:6b:68,-60,n-itolab-g,00:a0:de:e2:6b:69,-59,n-itolab-ac,80:ea:96:f2:cc:76,-58,3F-Naito-Lab,90:72:40:25:d1:26,-60,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-41,4b-matslaboEX,cc:e1:d5:51:4e:c0,-71,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-82,ait-wnet_A,00:24:a5:7b:aa:30,-86,ait formula,00:90:fe:f7:da:b2,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/9 18:37,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-68,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-58,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-48,n-itolab,00:a0:de:e2:6b:70,-66,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-45,n-itolab-ac,80:ea:96:f2:cc:77,-83,webmo,fc:db:b3:91:c2:64,-47,n-itolab-n,00:a0:de:e2:6b:68,-53,n-itolab-g,00:a0:de:e2:6b:69,-55,n-itolab-ac,80:ea:96:f2:cc:76,-57,3F-Naito-Lab,90:72:40:25:d1:26,-66,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-45,4b-matslaboEX,cc:e1:d5:51:4e:c0,-80,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,HostPi-GlobalNetwork,b8:27:eb:40:32:bc,-78,ait-wnet_A,00:24:a5:7b:aa:30,-86,ait formula,00:90:fe:f7:da:b2,-87,clabpro_G,00:24:a5:7b:d1:70,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
