CorrectRoom,BLERoom,WiFiRoom
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomA,RoomA,RoomA
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomB,RoomC,RoomB
RoomC,RoomB,RoomD
RoomC,RoomB,RoomD
RoomC,RoomB,RoomD
RoomC,RoomB,RoomC
RoomC,RoomB,RoomD
RoomC,RoomB,RoomD
RoomC,RoomB,RoomC
RoomC,RoomB,RoomC
RoomC,RoomB,RoomC
RoomC,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomD,RoomB,RoomD
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
RoomE,RoomE,RoomE
